PESEL;PYT1;PYT2;PYT3;PYT4;PYT5;PYT6 
96082399853;6;3;3;1;4;5
87033188451;2;2;3;5;6;6
37031842138;1;3;1;3;3;4
90101152526;1;6;6;5;6;5
48062685786;6;1;5;5;2;2
54042257476;5;4;2;3;3;2
73091651222;6;6;1;1;2;1
04220541134;3;2;6;3;5;2
63062293348;2;3;3;6;3;1
62082872232;1;2;4;1;5;5
78030221836;2;5;1;1;4;3
35080595854;3;4;1;3;6;1
37062745426;6;4;3;6;3;1
89083149435;6;4;6;1;5;2
58110495128;3;3;5;2;3;2
75110589659;2;2;3;1;1;4
83051558692;1;1;3;4;4;1
35032366145;1;1;4;3;1;1
72112451881;2;6;1;3;2;4
88062632494;5;4;5;1;5;4
87081079329;4;2;6;3;1;3
55022398921;6;5;5;2;6;2
44012291296;1;3;1;6;1;3
97122332623;5;2;5;2;3;5
87121226346;5;2;1;6;2;5
94040372434;2;5;5;6;1;3
99080642398;2;6;1;2;6;5
60102156829;6;4;2;2;4;5
57123149646;2;5;2;5;3;3
50122413774;6;6;5;2;6;5
95020926355;3;5;5;6;5;5
51010686135;2;6;1;6;4;4
73111298624;5;2;4;3;6;6
90041778965;2;2;3;6;6;5
74032466233;5;1;3;1;1;3
43091022959;6;6;3;1;4;5
30082181715;1;4;3;4;4;6
33080198558;3;5;6;1;4;2
64111787388;5;4;1;2;5;5
58010371999;4;3;5;1;4;3
64062718976;6;6;2;3;3;2
43050474531;3;3;4;1;5;3
74071949346;2;1;2;6;6;4
38061837611;1;2;4;5;3;4
89050374877;1;1;3;4;5;4
91011158718;4;1;5;5;3;4
46072698284;5;4;4;5;6;5
60050127573;2;2;2;5;6;3
45082136986;3;4;4;5;4;1
60110899857;6;1;1;4;4;5
57051648338;2;6;6;4;6;4
81072431477;4;2;6;2;3;1
91071017165;6;2;6;3;5;2
54031185438;6;4;3;1;6;3
04212335589;6;6;2;4;3;2
02300385331;4;3;1;6;6;2
38041444239;1;5;4;5;3;6
71020119933;5;5;6;5;5;5
43100943251;5;5;6;3;3;4
81041936765;5;2;4;5;5;1
97121852861;1;4;2;3;3;1
34070419538;1;1;2;2;6;4
00270828911;5;3;5;2;6;6
58050877123;1;5;3;3;2;1
67103168617;6;1;3;3;3;3
61111548252;5;6;4;6;3;1
83040685992;5;3;6;6;5;3
57082464222;2;1;5;4;5;1
61113034289;4;2;2;2;1;3
00310741835;3;3;2;4;1;6
31090265147;2;6;2;4;2;1
70122018663;2;5;4;2;3;1
97022215286;5;4;4;4;2;2
60042161774;5;4;5;1;4;4
81120148636;2;3;1;6;5;3
57032648182;5;4;1;2;6;6
72022917451;5;5;3;5;2;5
37032779815;1;3;1;3;3;2
52050151526;5;1;2;6;1;4
89040877645;3;3;2;1;6;5
01311781253;2;4;3;3;6;6
68022165581;2;3;6;1;5;5
60092865642;6;4;6;4;2;3
32100139269;1;3;4;4;5;6
30070198853;3;1;2;3;5;6
94080678817;5;5;3;3;2;3
91051668284;3;4;2;1;4;1
84110912361;6;3;3;5;6;4
36091333147;5;6;3;5;6;5
85082071692;5;1;2;5;5;2
76052092359;3;6;5;5;4;5
71122032684;3;4;3;3;2;3
95040414463;2;6;4;1;4;4
00260159843;6;4;3;2;3;4
98112028539;3;2;3;2;2;6
34042928875;1;6;4;5;6;1
36060371749;3;6;1;1;6;2
78092389222;2;5;4;6;5;4
71051278625;6;2;4;4;5;4
57101535395;5;2;3;1;4;2
76102317533;1;5;4;5;1;5
49120368582;6;4;3;5;6;6
63030382821;1;1;3;6;6;1
73032764815;1;5;3;3;3;5
77052268654;1;4;6;5;2;3
47041483263;6;4;4;2;3;5
89080528934;6;3;2;1;5;5
36111843461;2;4;6;1;4;3
90060685817;6;4;2;5;1;5
61102324775;5;2;6;5;6;5
35101668453;4;4;1;4;2;4
57101555124;1;4;6;1;2;4
83063092333;4;5;6;1;1;5
42121723347;6;1;6;5;5;2
53111995516;2;2;6;3;6;3
74081312592;1;6;6;5;2;5
03222379749;5;4;5;5;4;6
80012397419;2;3;3;2;5;4
55010619623;3;6;6;4;5;4
63111211877;2;1;5;3;4;3
71121964665;5;3;5;2;2;3
91013115292;2;3;4;6;2;6
55122591273;3;1;1;6;3;6
77040577436;6;6;3;5;4;6
65061345729;1;4;3;6;5;2
39090525555;6;4;2;6;5;2
94031471995;6;2;2;6;3;2
66030667853;5;1;4;4;1;1
02321143891;1;2;1;4;6;3
57041067941;1;4;1;3;5;5
71041716759;3;1;1;1;1;2
75112929848;1;3;3;1;5;6
79082393546;6;1;1;1;3;5
92032221816;2;5;2;1;3;5
86091065173;6;5;6;6;1;6
04290773396;1;5;1;1;6;4
73051885768;5;1;3;4;3;3
33051616898;2;6;5;6;6;5
40090782765;4;1;6;3;4;3
40062916514;4;6;6;4;4;2
46102949553;3;6;2;5;2;3
66091132378;6;2;6;6;4;4
97040849957;5;3;4;5;5;1
31012399864;1;1;4;6;3;4
49112859483;2;4;1;5;3;4
82041689318;3;4;6;5;5;2
01270217738;2;5;4;3;6;6
37103155546;1;3;6;3;6;3
45072464495;4;6;5;6;6;4
90100319267;5;5;1;1;3;6
46061695458;2;5;1;1;6;6
90092856128;2;1;4;3;5;5
02282556729;4;1;5;4;2;4
32021331553;3;2;5;2;1;1
77091089218;4;2;1;4;6;6
02262276173;3;5;4;3;3;2
44111971545;6;6;4;1;3;2
37111261859;2;5;4;5;6;3
67060363384;4;2;5;5;4;3
92122989691;2;6;1;2;4;5
78031837652;5;2;6;6;3;4
60081126567;5;1;6;5;1;4
68070184866;3;6;1;1;1;4
75030448283;6;4;6;5;4;3
74101841668;2;1;2;2;3;4
56022123478;1;6;4;3;4;2
96090893114;6;6;1;3;2;6
54081959335;1;1;5;5;6;2
99010381155;2;5;6;2;5;2
74020352872;6;3;4;4;4;4
32041699941;2;2;4;2;4;1
94111346988;5;5;6;4;1;6
55071656139;6;1;5;2;4;6
59082155933;1;4;2;4;6;3
83020912782;3;6;4;2;6;6
83012772356;2;6;3;1;5;4
80051157449;1;5;2;6;2;5
34090797984;5;1;2;2;3;1
39091353656;6;4;5;5;6;4
47031245282;4;1;1;1;3;1
78123111149;1;2;3;1;5;5
51040963949;2;4;3;2;3;2
64112213837;5;2;1;5;5;4
01270156626;3;3;6;4;3;2
01221628666;2;6;3;4;1;5
64042838779;6;4;6;1;2;5
32070222772;6;2;6;4;3;3
32071331848;5;4;3;5;1;4
68050517956;4;3;3;3;2;4
32022284812;2;2;1;6;2;1
92071387959;6;6;5;3;4;3
45010727998;1;6;3;2;6;2
93061679399;6;1;3;6;4;5
71120914883;3;2;6;2;5;6
80042992297;5;3;3;3;6;1
31122965157;2;4;5;4;4;4
55102684551;2;3;3;3;1;1
88071452634;5;1;4;2;1;1
35103154855;5;4;6;2;3;1
44060997151;4;4;4;6;6;3
57051732282;3;3;3;6;6;1
45090338589;4;3;4;5;5;6
56080847963;1;1;5;3;2;1
71041546631;4;5;6;1;6;4
57062284932;3;6;2;4;1;4
54030619666;1;2;3;2;2;6
80051057534;3;5;6;2;5;6
82040274412;4;5;6;1;1;6
80012826214;6;3;6;2;6;1
95081599578;3;2;5;5;5;4
92092227375;5;4;3;2;5;5
31021967713;4;6;1;6;3;3
41071337396;5;6;5;6;6;6
66120161625;5;2;2;4;3;4
53012771655;5;2;6;3;3;3
94111672847;4;4;2;4;5;6
96040179462;3;4;2;4;6;1
53102141748;5;3;4;1;5;5
00230411148;5;2;4;6;4;2
64032352254;2;6;4;1;6;2
82010153514;3;4;6;3;6;2
49102693767;5;4;5;6;5;3
63051093535;2;6;6;1;6;3
78011428544;4;6;4;2;5;6
42041041549;5;1;3;5;4;3
55113051274;1;5;2;3;4;2
97080479945;6;5;1;3;1;1
66081469671;5;3;3;2;4;6
55032439359;6;6;1;3;5;2
47081086439;1;2;3;3;1;2
79060442691;4;3;3;1;1;1
51100579246;6;5;6;4;1;2
42121342252;4;2;1;4;3;6
96111438568;1;1;4;4;4;6
97121168861;5;1;1;5;4;1
61111651989;5;5;1;1;5;1
83071673548;1;5;6;5;4;2
51082333117;5;6;5;3;2;6
51111439971;4;4;6;5;3;1
47062747526;6;1;5;2;5;6
73051292629;6;5;5;1;5;1
78011956256;1;6;2;3;4;6
56010739432;3;3;3;2;3;5
03231155723;4;6;6;6;5;4
55062797472;3;1;1;4;5;2
02312389921;2;3;1;1;5;2
95080476665;5;5;3;1;1;6
50010165617;4;2;3;6;5;4
90110777217;1;3;2;5;3;2
02250431157;5;1;1;4;2;6
34022063754;4;4;5;3;2;3
54120118877;6;6;3;1;3;1
71072045422;4;1;6;6;2;1
93031882266;2;3;1;2;5;3
65011057353;6;6;5;1;1;5
02240622127;5;1;4;3;4;5
49122979555;1;4;5;6;6;6
00221661114;5;5;6;2;4;3
35121593254;1;1;3;5;6;4
93033171964;6;2;6;3;1;2
45091552124;2;3;5;5;6;4
82082978691;2;5;2;6;6;1
99061125885;2;3;5;2;5;2
89020193936;2;5;6;1;2;5
91021159697;3;4;4;2;1;2
70083181925;1;2;1;3;2;4
85090278986;1;2;4;4;4;4
00221917529;6;2;6;4;5;2
79090885963;1;2;4;2;3;1
58061175399;3;4;5;6;1;4
42020283133;2;4;6;5;5;6
57062492487;4;4;4;4;1;4
60070399558;2;5;4;5;4;2
72012487494;4;2;5;5;1;6
82042754938;4;3;4;2;4;6
72031373424;2;6;3;3;2;1
74081676533;6;3;4;6;2;1
68101444471;3;2;2;5;3;2
85030193199;1;5;5;2;3;5
47061053848;2;2;5;3;4;1
59111828766;1;5;1;2;3;6
02290714272;2;1;2;2;3;6
44050635883;3;5;5;4;6;5
84100292549;2;4;2;4;5;1
88042316758;4;6;5;4;4;5
82080814151;2;1;2;1;3;5
85082391347;4;2;4;6;1;2
46100524358;5;1;1;2;6;4
79032547391;3;5;3;5;6;1
53092915523;1;2;6;5;3;2
68051372718;5;3;3;1;2;1
41011033326;4;1;5;2;5;2
41040355572;2;3;3;5;2;5
60020331496;5;1;4;3;2;5
66102475551;4;6;1;3;1;6
34061259169;1;1;2;4;4;1
94072833347;4;4;4;5;4;1
33082247359;6;4;3;4;3;1
33122247387;1;3;3;2;2;6
42031673794;4;1;4;3;5;3
70071395972;5;5;6;2;5;3
95051249418;6;5;6;4;2;6
60042179881;2;5;6;4;3;6
36101256686;1;4;1;2;3;4
31042791133;6;4;4;6;3;6
51120116379;1;3;1;6;5;2
30043097385;1;3;3;1;2;2
74030942155;1;3;1;1;2;5
61122856278;1;1;1;5;6;1
42052847763;6;1;1;5;6;2
69091784125;4;4;6;5;3;2
69071718294;2;3;6;5;1;3
36080742598;6;1;6;4;4;3
35102353927;3;3;6;2;4;4
78050568852;1;4;6;6;6;1
54122728955;5;5;3;3;6;6
81123027943;5;6;6;3;6;1
32050561154;1;1;2;5;6;6
92081116176;6;4;2;4;2;3
82030321984;3;6;6;5;5;3
36052712792;2;5;3;3;2;5
90092438164;2;3;6;3;5;6
